rowid;message_date;username;about;message_detail;tweet_id;account_creation_date;followers;token;gender;hashtag;image_url;internal_id;language;location;message_url;platform_type;received_timestamp;retweet_count;retweet_id;tweets;date
26571;01.10.2023 05:16;Juli_npop;sua n - idol favorita !  ☆ @JUSTERIN _ OFC, @LICOR _ OFC, @YUGXYUG Le Rouge, @newyoung _ ofc & @NVOIDgroup ' s TIGER;RT @MaskedSingerNR: [TMSN 2 🎭] GRAND FINALE  Dance Dance - Jurados [LIVE AT THE MASKED SINGER NORDESTE 2 FINALE] (1/2) https://t.co/2hjL3UPnTF;1,7083E+18;09.10.2020 04:47;573;559;M;;;TWT202310011708304760011383115;en;she/her.;https://twitter.com/Juli_npop/statuses/1708304760011383115;Twitter;02.10.2023 05:38;0;1,7083E+18;13478;01.10.2023
26570;01.10.2023 05:17;Juli_npop;sua n - idol favorita !  ☆ @JUSTERIN _ OFC, @LICOR _ OFC, @YUGXYUG Le Rouge, @newyoung _ ofc & @NVOIDgroup ' s TIGER;RT @MaskedSingerNR: [TMSN 2 🎭] GRAND FINALE  Dance Dance - Jurados [LIVE AT THE MASKED SINGER NORDESTE 2 FINALE] (1/2) https://t.co/PHLyvp6mJH;1,70831E+18;09.10.2020 04:47;573;559;M;;;TWT202310011708305096038051993;en;she/her.;https://twitter.com/Juli_npop/statuses/1708305096038051993;Twitter;02.10.2023 05:38;0;1,7083E+18;13478;01.10.2023
24373;01.10.2023 05:19;Mrtriceps;https://t . co/lRuYpWnd9E;@mrdenizkant @mehmetbrksn Fener -6.5;1,70831E+18;17.08.2010 22:21;7;34;U;;;TWT202310011708305528127205429;tr;Sydney, New South Wales;https://twitter.com/Mrtriceps/statuses/1708305528127205429;Twitter;02.10.2023 05:38;0;0;13288;01.10.2023
24372;01.10.2023 05:21;shadowmustafatr;;Stx coin 1 $ kırarsa hedef önce 3$ sonra 5 $ sonra 7$ sonra 10 $ .... hedef en az 150 $ sec onaylı tek koin ytd . Almadığına aldırmadığına pişman olursun ytd;1,70831E+18;22.01.2021 08:12;47;526;U;;;TWT202310011708306170358690077;tr;;https://twitter.com/shadowmustafatr/statuses/1708306170358690077;Twitter;02.10.2023 05:38;0;0;372;01.10.2023
24371;01.10.2023 05:23;orisayed;Yo Soy Quien Soy No Lo Que Ves🙏👑;Alp Navruz Mention Etkinliği:  Yorum: 250 HEDEF: RETWEET yapmanız yeterli   SET B -1 •(⁠｡💜‿💜｡⁠)    #AlpNavruz https://t.co/KmLkbSZskP;1,70831E+18;04.08.2021 04:04;868;2376;U;;http://pbs.twimg.com/ext_tw_video_thumb/1708306617005912065/pu/img/qMLmgm1vT7DR32Kw.jpg;TWT202310011708306711138730479;tr;Turquía;https://twitter.com/orisayed/statuses/1708306711138730479;Twitter;02.10.2023 05:38;5;0;101169;01.10.2023
24370;01.10.2023 05:24;AtakanSevgi_;Trakya ve Balkanlar tarihi, kūltürü ve gündemi ve siyaseti üzerine (Türkiye dahil)   içirik   üreticisi .  Tarih meraklısı .;@moquaries Devlete ve sermayeye laf edemeyip en kolay hedef halka yüklenen senin gibiler yüzünden olmasın?  Ortada dağ gibi bir problem var ve sen bu problemin en etkisiz yanına takılıyorsun. Bir de başkalarını suçlamaya kalkıyorsun.  Bu utanmazca bir yaklaşım. Kabul et ve dön.;1,70831E+18;29.11.2015 01:47;34350;699;M;;;TWT202310011708306750720336087;tr;Trakya;https://twitter.com/AtakanSevgi_/statuses/1708306750720336087;Twitter;02.10.2023 05:38;0;0;68852;01.10.2023
24369;01.10.2023 05:24;00kocaman0;:);@onurarinkan Hocam bera’ya bi bakabilir misiniz;1,70831E+18;10.07.2012 12:38;17;49;M;;;TWT202310011708306938834911337;tr;;https://twitter.com/00kocaman0/statuses/1708306938834911337;Twitter;02.10.2023 05:38;0;0;45;01.10.2023
24368;01.10.2023 05:26;AtaogluMete;;@06melihgokcek Anayasa mahkemesini tanımıyorum saygı da duymuyorum diyen kim ise ilk önce onu hedef göster boş a gevezelik etme.;1,70831E+18;02.12.2020 19:48;6;38;M;;;TWT202310011708307405468004428;tr;;https://twitter.com/AtaogluMete/statuses/1708307405468004428;Twitter;02.10.2023 05:38;0;0;1782;01.10.2023
24367;01.10.2023 05:26;Mustafa55555556;.;RT @siegergeist: @ekremalpay8 Lan serseri geçen hafta fenerin attığı golde tadic’in ayağı çok net şekilde öndeydi herkes konuşurken bir şey yazdın mı? Ankaragücü maçında son dakikalarda fener aleyhine 100%’lük bir penaltı verilmemişti ona da bir şey dedin mi? Bu iki pozisyon tek başına dört puan yapıyor.… https://t.co/DzX7vQJqQA;1,70831E+18;01.10.2017 09:59;114;111;U;;;TWT202310011708307419082735890;tr;Türkiye;https://twitter.com/Mustafa55555556/statuses/1708307419082735890;Twitter;02.10.2023 05:38;0;1,7082E+18;23062;01.10.2023
24366;01.10.2023 05:28;Nuri_58_58;🇹🇷Türk ➖️🇹🇷Türkiye;RT @HeluaD1: Hedef Kızıl Elma Biz Yaptık 🇹🇷📌 https://t.co/UVc7g9sGt3;1,70831E+18;06.01.2022 05:11;2059;2074;U;;http://pbs.twimg.com/media/F7S62TVWgAAg9RF.jpg;TWT202310011708307988593742216;tr;;https://twitter.com/Nuri_58_58/statuses/1708307988593742216;Twitter;02.10.2023 05:38;0;1,7082E+18;75841;01.10.2023
26569;01.10.2023 05:30;HaberturkTV;Doğru Haber, Dinamik Sunum, Kaliteli Program, Güçlü Yorum CANLI ▶ https://t . co/sunWRbJq68;"➡️Yunanistan ve İsrail ile ilişkilerde yeni dönem  ➡️ABD ile F-16 görüşmeleri  ➡️İsveç’in NATO üyeliği  ➡️Düzensiz göçle mücadele  #ÖzelRöportaj'da bugün 10:00'da Oylum Talu soruyor; Cumhurbaşkanı Dış Politika ve Güvenlik Başdanışmanı Akif Çağatay Kılıç (@ackilic76) yanıtlıyor. https://t.co/dVDLfXQjha";1,70831E+18;18.04.2012 10:15;1755162;26;U;ÖzelRöportaj;http://pbs.twimg.com/media/F7TV4JrW4AEFf-K.jpg;TWT202310011708308250960253170;tr;İstanbul, Türkiye;https://twitter.com/HaberturkTV/statuses/1708308250960253170;Twitter;02.10.2023 05:38;0;0;370148;01.10.2023
24365;01.10.2023 05:30;Tekinyldrk;HÜDA PAR Karlıova İlçe Başkan Yardımcısı;RT @YasinKavakli_23: Çoğu insanın yaradılış gayesini unuttuğu, hedef ve istikametini şaşırdığı, insani ve İslami değerlerini yitirme tehlikesi ile karşı kaşıya kaldığı çok kritik bir süreçten geçiyoruz  HÜDA PAR Genel Başkanı Zekeriya Yapıcıoğlu https://t.co/XUlNtLnigg;1,70831E+18;07.11.2020 23:13;806;640;U;;;TWT202310011708308407394894225;tr;;https://twitter.com/Tekinyldrk/statuses/1708308407394894225;Twitter;02.10.2023 05:38;0;1,70818E+18;40956;01.10.2023
24364;01.10.2023 05:31;ErkutGuler52;GALATASARAY sevdalısı .  .  . Hep oyunlar senaryolar, sustuysak bir yere kadar, aklınızdan çıkarmayın, Türkiye ' dir Galatasaray .  .  .  🤠https://t . co/ssuRZGcFE2🤠;RT @mackolik: 🦁 Galatasaray için sıradaki hedef: Manchester! https://t.co/oeGWIFp2A4;1,70831E+18;20.05.2011 23:07;470;1552;M;;http://pbs.twimg.com/media/F7SvnU-XMAEhsH_.jpg;TWT202310011708308691428982823;tr;Ordu, Türkiye;https://twitter.com/ErkutGuler52/statuses/1708308691428982823;Twitter;02.10.2023 05:38;0;1,70818E+18;25508;01.10.2023
24363;01.10.2023 05:33;kotanmehmetaly;;RT @turkdegs: ‼️ Fener Rum Patriği Vatikan Büyükelçiliğimizi şereflendirmiş!!!  (Sn. Büyükelçi teşriflerinden (şereflendirmesinden) dolayı Patrike teşekkür etmiş) ….. ‼️ Fatih Kaymakamlığına bağlı bir din adamı TC Cumhurbaşkanını temsil eden TC Büyükelçisi tarafından ancak kabul edilir! https://t.co/x0PUrNln4u;1,70831E+18;04.09.2021 13:32;1063;1486;M;;;TWT202310011708309034191782193;tr;;https://twitter.com/kotanmehmetaly/statuses/1708309034191782193;Twitter;02.10.2023 05:38;0;1,70823E+18;70853;01.10.2023
26568;01.10.2023 05:35;fy4982;;RT @temmuz1919: #Sondakika  Royal Navy ( Birleşik Krallık donanması). Her türlü duruma hazır olduğunu açıkladı;1,70831E+18;12.02.2023 21:32;42;728;M;Sondakika;;TWT202310011708309675840504296;tr;;https://twitter.com/fy4982/statuses/1708309675840504296;Twitter;02.10.2023 05:38;0;1,70823E+18;9385;01.10.2023
26567;01.10.2023 05:37;madklley;🏡 : #ordemparanormal  !  !  🤍 jurídico qcellbit  !;PF BENITO TIRE 1 20;1,70831E+18;24.06.2021 02:07;1015;852;U;;;TWT202310011708310054653378958;it;she ★ ela;https://twitter.com/madklley/statuses/1708310054653378958;Twitter;02.10.2023 05:38;0;0;28061;01.10.2023
24361;01.10.2023 05:37;enes12_21;İbadetlerin meşaketi gider sevabı kalır Günahların lezzeti gider azabı kalır .  .;RT @gundemedairhs: HÜDA PAR Genel Başkanı Zekeriya Yapıcıoğlu:  Çoğu insanın yaradılış gayesini unuttuğu, hedef ve istikametini şaşırdığı, insani ve İslami değerlerini yitirme tehlikesi ile karşı kaşıya kaldığı çok kritik bir süreçten geçiyoruz. https://t.co/NUQofHOdwD https://t.co/lrvaM5GfeA;1,70831E+18;18.05.2015 19:49;2191;2027;U;;;TWT202310011708310195376451584;tr;;https://twitter.com/enes12_21/statuses/1708310195376451584;Twitter;02.10.2023 05:38;0;1,70809E+18;2794;01.10.2023
24360;01.10.2023 05:38;Turkiye_1903;;RT @BAYIRBUCAK33: Aşiret güçleri #Deyrizor kırsalının Ebu Hamam ilçesinde terör örgütü PKK/YPG'nin mevzilerini hedef alıyor. #BayırBucakHaberAjansı https://t.co/1TggGJiaL0;1,70831E+18;13.04.2016 20:56;3349;435;M;Deyrizor;;TWT202310011708310369431699777;tr;;https://twitter.com/Turkiye_1903/statuses/1708310369431699777;Twitter;02.10.2023 05:38;0;1,70824E+18;1205032;01.10.2023
26566;01.10.2023 05:38;kaynssuo;No friends, no self - esteem, no family, no reason to live;@lskywalkerr_ @ifurkaanb G@t veren demek için manas destanı yazdı adam jcbddhxhxhcbhjdncjjdncj;1,70831E+18;18.03.2022 00:25;50;73;M;;;TWT202310011708310503238287530;tr;Urdak;https://twitter.com/kaynssuo/statuses/1708310503238287530;Twitter;02.10.2023 05:38;0;0;4436;01.10.2023
